plate,count_x,count_y
Plate07,1.244400913,-0.399130634
Plate07,1.584067814,0.001512791
Plate07,1.595147548,0.188549818
Plate07,1.73762759,0.265386097
Plate07,1.62271444,0.421385149
Plate01,0.528304331,-1.427627344
Plate01,0.361074404,-1.8076269
Plate01,0.437704977,-1.704047338
Plate01,0.475934938,-1.502873485
Plate01,0.413384114,-1.536075001
Plate02,0.539795106,-1.787321077
Plate02,0.427099872,-1.615726167
Plate02,0.46144571,-1.720699624
Plate02,0.388663719,-1.552608406
Plate02,0.362348756,-1.513929183
Plate03,0.27707539,-1.342303407
Plate03,0.024526652,-1.355316866
Plate03,-0.627821492,-1.041898042
Plate03,-0.172876402,-0.968476217
Plate03,-1.852592976,0.202261574
Plate04,-0.265153588,-0.730417266
Plate04,-2.373599049,-0.262993717
Plate04,-2.184432382,0.118469366
Plate04,-3.536955095,0.068903567
Plate04,-2.616862768,0.482134374
Plate05,-2.060689628,0.290078683
Plate05,-2.505021618,-0.273578947
Plate05,-2.935689672,-0.289193425
Plate05,-3.895329666,-0.550512913
Plate05,-3.796185518,-0.643523274
Plate06,0.840701583,-0.360322778
Plate06,0.784388906,-0.684518129
Plate06,0.94492633,-0.545552659
Plate06,1.108894856,0.038927456
Plate06,1.772689961,0.251487437
Plate08,-1.081200303,2.564852781
Plate08,-1.371489042,2.417998198
Plate08,-1.492124292,2.779282274
Plate08,-0.896142379,3.036697202
Plate08,-0.740567825,2.95908129
Plate09,0.57522586,-0.205380432
Plate09,1.676259176,0.668562101
Plate09,1.567855828,1.046736039
Plate09,1.212280495,1.451973557
Plate09,1.561580299,1.248091917
Plate10,0.969081454,0.594619378
Plate10,2.061191418,1.036007818
Plate10,2.409687779,1.430922194
Plate10,2.077535881,1.039085437
Plate10,2.361117593,1.218646734
